,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
   George Best Belfast City Airport," 	2,237,219 "," 	2,105,769 "," 	2,186,993 "," 	2,570,742 "," 	2,621,763 "," 	2,740,341 "," 	2,397,271 "," 	2,246,202 "," 	2,541,722 "," 	2,555,111 "," 	2,692,742 "
   Belfast International Airport," 	4,824,271 "," 	5,038,692 "," 	5,272,664 "," 	5,262,354 "," 	4,546,475 "," 	4,016,170 "," 	4,101,914 "," 	4,312,441 "," 	4,022,469 "," 	4,031,709 "," 	4,389,870 "
   City of Derry Airport," 	201,226 "," 	341,556 "," 	427,640 "," 	439,033 "," 	345,857 "," 	339,432 "," 	405,568 "," 	398,209 "," 	384,973 "," 	350,257 "," 	284,482 "
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,